From , To , Total 
28 22:13:13 , 28 22:13:42 ,72
28 22:13:43 , 28 22:14:12 ,91
28 22:14:13 , 28 22:14:42 ,93
28 22:14:43 , 28 22:15:12 ,87
28 22:15:13 , 28 22:15:42 ,110
28 22:15:43 , 28 22:16:12 ,210
28 22:16:13 , 28 22:16:42 ,248
28 22:16:43 , 28 22:17:12 ,284
28 22:17:13 , 28 22:17:42 ,297
28 22:17:43 , 28 22:18:12 ,227
28 22:18:13 , 28 22:18:42 ,207
28 22:18:43 , 28 22:19:12 ,161
28 22:19:13 , 28 22:19:42 ,155
28 22:19:43 , 28 22:20:12 ,161
28 22:20:13 , 28 22:20:42 ,126
28 22:20:43 , 28 22:21:12 ,109
28 22:21:13 , 28 22:21:42 ,121
28 22:21:43 , 28 22:22:12 ,116
28 22:22:13 , 28 22:22:42 ,92
28 22:22:43 , 28 22:23:12 ,95
28 22:23:13 , 28 22:23:42 ,98
28 22:23:43 , 28 22:24:12 ,77
28 22:24:13 , 28 22:24:42 ,106
28 22:24:43 , 28 22:25:12 ,104
28 22:25:13 , 28 22:25:42 ,99
28 22:25:43 , 28 22:26:12 ,85
28 22:26:13 , 28 22:26:42 ,83
28 22:26:43 , 28 22:27:12 ,117
28 22:27:13 , 28 22:27:42 ,102
28 22:27:43 , 28 22:28:12 ,102
28 22:28:13 , 28 22:28:42 ,79
28 22:28:43 , 28 22:29:12 ,74
28 22:29:13 , 28 22:29:42 ,62
28 22:29:43 , 28 22:30:12 ,71
28 22:30:13 , 28 22:30:42 ,96
28 22:30:43 , 28 22:31:12 ,75
28 22:31:13 , 28 22:31:42 ,79
28 22:31:43 , 28 22:32:12 ,74
28 22:32:13 , 28 22:32:42 ,52
28 22:32:43 , 28 22:33:12 ,119
28 22:33:13 , 28 22:33:42 ,107
28 22:33:43 , 28 22:34:12 ,129
28 22:34:13 , 28 22:34:42 ,140
28 22:34:43 , 28 22:35:12 ,124
28 22:35:13 , 28 22:35:42 ,128
28 22:35:43 , 28 22:36:12 ,126
28 22:36:13 , 28 22:36:42 ,119
28 22:36:43 , 28 22:37:12 ,91
28 22:37:13 , 28 22:37:42 ,103
28 22:37:43 , 28 22:38:12 ,81
28 22:38:13 , 28 22:38:42 ,69
28 22:38:43 , 28 22:39:12 ,86
28 22:39:13 , 28 22:39:42 ,108
28 22:39:43 , 28 22:40:12 ,93
28 22:40:13 , 28 22:40:42 ,84
28 22:40:43 , 28 22:41:12 ,83
28 22:41:13 , 28 22:41:42 ,72
28 22:41:43 , 28 22:42:12 ,67
28 22:42:13 , 28 22:42:42 ,100
28 22:42:43 , 28 22:43:12 ,85
28 22:43:13 , 28 22:43:42 ,98
28 22:43:43 , 28 22:44:12 ,92
28 22:44:13 , 28 22:44:42 ,121
28 22:44:43 , 28 22:45:12 ,102
28 22:45:13 , 28 22:45:42 ,111
28 22:45:43 , 28 22:46:12 ,126
28 22:46:13 , 28 22:46:42 ,112
28 22:46:43 , 28 22:47:12 ,72
28 22:47:13 , 28 22:47:42 ,100
28 22:47:43 , 28 22:48:12 ,65
28 22:48:13 , 28 22:48:42 ,83
28 22:48:43 , 28 22:49:12 ,76
28 22:49:13 , 28 22:49:42 ,114
28 22:49:43 , 28 22:50:12 ,228
28 22:50:13 , 28 22:50:42 ,263
28 22:50:43 , 28 22:51:12 ,200
28 22:51:13 , 28 22:51:42 ,194
28 22:51:43 , 28 22:52:12 ,194
28 22:52:13 , 28 22:52:42 ,216
28 22:52:43 , 28 22:53:12 ,200
28 22:53:13 , 28 22:53:42 ,297
28 22:53:43 , 28 22:54:12 ,260
28 22:54:13 , 28 22:54:42 ,243
28 22:54:43 , 28 22:55:12 ,221
28 22:55:13 , 28 22:55:42 ,224
28 22:55:43 , 28 22:56:12 ,195
28 22:56:13 , 28 22:56:42 ,197
28 22:56:43 , 28 22:57:12 ,170
28 22:57:13 , 28 22:57:42 ,198
28 22:57:43 , 28 22:58:12 ,194
28 22:58:13 , 28 22:58:42 ,175
28 22:58:43 , 28 22:59:12 ,150
28 22:59:13 , 28 22:59:42 ,158
28 22:59:43 , 28 23:00:12 ,150
28 23:00:13 , 28 23:00:26 ,93
